StoreName,City,Phone,Map
Tinsukia,Tinsukia,+919811031027,"https://www.google.com/maps/search/?api=1&query=27.491933414669834,95.35044700862939&query_place_id=ChIJw87dpnxrPzcR6Lf-eeY7rb8"
Arrah,Arrah,+918929100813,"https://www.google.com/maps/search/?api=1&query=25.5524014,84.6550216&query_place_id=ChIJbeZKHIlfjTkRMk9KLNX2B7A"
Usmanpura,Aurangabad,+918376801264,"https://www.google.com/maps/search/?api=1&query=19.870302,75.327881&query_place_id=ChIJn-3VKgGZ2zsR5iVrdOKbah8"
Bettiah,Bettiah,+918447745709,"https://www.google.com/maps/search/?api=1&query=26.808354,84.506529&query_place_id=ChIJCR0mpRVvkzkR2RADh-__b0Q"
Khaliphabag Chowk,Bhagalpur,+917428890293,"https://www.google.com/maps/search/?api=1&query=25.24642,86.975242&query_place_id=ChIJHbbgXntL8DkR2UR10Uliznw"
Buxar,Buxar,+918929334374,"https://www.google.com/maps/search/?api=1&query=25.575649,83.976926&query_place_id=ChIJ_REWIXR1kjkRnyjOwlsIYBg"
Motihari,Champaran,+917303743744,"https://www.google.com/maps/search/?api=1&query=26.649378,84.926768&query_place_id=ChIJKwMOzF01kzkRUfYNH1QLUA0"
Mirzapur,Darbhanga,+919582370306,"https://www.google.com/maps/search/?api=1&query=26.152734,85.897081&query_place_id=ChIJAwyF4Se57TkRggS4FpdIV48"
Gaya Bihar,Gaya,+919643855328,"https://www.google.com/maps/search/?api=1&query=24.790981,85.007731&query_place_id=ChIJkUud54Ur8zkR9edofpMYhNE"
Hajipur,Hajipur,+919625530530,"https://www.google.com/maps/search/?api=1&query=25.696636,85.213903&query_place_id=ChIJg3lczhJd7TkRU7nvRtn51qQ"
Jamui,Jamui,+918744060205,"https://www.google.com/maps/search/?api=1&query=24.916147,86.226063&query_place_id=ChIJGT5NEmUr8jkRmv9IHwy27Kw"
"Club Road, Muzaffarpur",Muzaffarpur,+917428890274,"https://www.google.com/maps/search/?api=1&query=26.10919,85.3963125&query_place_id=ChIJFZcV1eUR7TkR63FExcqkrgY"
West Boring Canal Road,Patna,+917428890080,"https://www.google.com/maps/search/?api=1&query=25.61439,85.1195574&query_place_id=ChIJw7c9VDpY7TkRBJ78PiheMp4"
RN Shaw Chowk,Purnia,+917428890223,"https://www.google.com/maps/search/?api=1&query=25.77119,87.472868&query_place_id=ChIJM-yeKm757zkRRyJp0sqYStg"
Samastipur,Samastipur,+918929170401,"https://www.google.com/maps/search/?api=1&query=25.854290,85.774891&query_place_id=ChIJj1vQbgOR7TkRZ3V6NpmlBO4"
Kanathur,Kanathur,+918929347327,"https://www.google.com/maps/search/?api=1&query=12.853453,80.241261&query_place_id=ChIJ-Vl9atNlUjoREtBG355JYZk"
Ambikapur,Ambikapur,+918929181538,"https://www.google.com/maps/search/?api=1&query=23.12501564,83.19380963&query_place_id=ChIJD4DEv1yjiTkRq2pUixlkAEw"
Supela,Bhilai,+917428890084,"https://www.google.com/maps/search/?api=1&query=21.2047563,81.3475042&query_place_id=ChIJqxSUKSgjKToR1e6b9fXaHrE"
Sarkanda,Bilaspur,+917291990473,"https://www.google.com/maps/search/?api=1&query=22.097778,82.158056&query_place_id=ChIJg08OjzELKDoRIX4AobcdB1Y"
Korba,Korba,+918929173778,"https://www.google.com/maps/search/?api=1&query=22.358665,82.708740&query_place_id=ChIJbTEClzSPJzoRRy8XqgzNokI"
Raigarh,Raigarh,+918447744647,"https://www.google.com/maps/search/?api=1&query=21.9049849,83.3921803&query_place_id=ChIJbcbUm1UlJzoRInpU6qgMb-k"
Telibandha,Raipur,+919711625907,"https://www.google.com/maps/search/?api=1&query=21.240598,81.661487&query_place_id=ChIJXRoHl0_dKDoRw5eYKUhPths"
Rajnandgaon,Rajnandgaon,+918929266392,"https://www.google.com/maps/search/?api=1&query=21.0920042,81.0197385&query_place_id=ChIJta6q79xFKToRTcHQqG110DQ"
Silvassa,Silvassa,+919667153154,"https://www.google.com/maps/search/?api=1&query=20.26466,73.004047&query_place_id=ChIJw2poRhLL4DsR6uV_NnOH3Ko"
"City Centre Al Zahia, Sharjah",Sharjah,+91505319722,"https://www.google.com/maps/search/?api=1&query=25.31569745,55.45391477&query_place_id=ChIJv01Zk79ZXz4RaHIQSD5PmB8"
Dabolim,Dabolim,+918929176484,"https://www.google.com/maps/search/?api=1&query=15.3865775,73.8443944&query_place_id=ChIJAdo2lvW5vzsRmBNP7a0yxX4"
Sanquelim,Goa,+919654953797,"https://www.google.com/maps/search/?api=1&query=15.56145,74.012926&query_place_id=ChIJLyKcWgC9vzsR7u3TaeRzuxg"
Mapusa Bata,Mapusa,+919582240759,"https://www.google.com/maps/search/?api=1&query=15.5892200,73.8120830&query_place_id=ChIJH_zlfQDrvzsRBjVL_ol76XQ"
Margao Goa,Margao,+919582813692,"https://www.google.com/maps/search/?api=1&query=15.287333,73.955083&query_place_id=ChIJW6TLCwCxvzsRNqJtOQ70_Eo"
Westside Madgaon,Margoa,+919582922851,"https://www.google.com/maps/search/?api=1&query=15.521198,73.977247&query_place_id=ChIJKcIMFWWzvzsRbWDehtvstd8"
Panaji,Panaji,+917428891377,"https://www.google.com/maps/search/?api=1&query=15.4901408,73.8200092&query_place_id=ChIJtVcQq_7BvzsRVglFCczPpVo"
Vastrapur,Ahmedabad,+918929167903,"https://www.google.com/maps/search/?api=1&query=23.044327,72.529674&query_place_id=ChIJHTky03uFXjkR6gZU_nTRxRY"
Anand Gujarat,Anand,+919643711455,"https://www.google.com/maps/search/?api=1&query=22.55208,72.939506&query_place_id=ChIJCUgi5WVPXjkRi6wvG6omWwI"
Valia Chokdi,Anklesvar,+918929440770,"https://www.google.com/maps/search/?api=1&query=21.6181415,73.0051817&query_place_id=ChIJAdxohLIj4DsRwuRweHut0XI"
Bharuch,Bharuch,+918826631368,"https://www.google.com/maps/search/?api=1&query=21.7018388,72.991736&query_place_id=ChIJQ0XpeNAn4DsRGYGyOxCTqgg"
Waghawadi Road,Bhavnagar,+918929642251,"https://www.google.com/maps/search/?api=1&query=21.765383,72.147848&query_place_id=ChIJt_KPOnRbXzkRB3lkUPjuinE"
Bhuj,Bhuj,+918929808415,"https://www.google.com/maps/search/?api=1&query=23.2454734,69.6740652&query_place_id=ChIJu_posEDhUDkRmcpmly88EyE"
Sector 16 Gandhinagar,Gandhinagar,+918929136914,"https://www.google.com/maps/search/?api=1&query=23.231189,72.649112&query_place_id=ChIJz0TE4YsrXDkRB89Pf4x_URU"
Himmatnagar,Himmatnagar,+917065045203,"https://www.google.com/maps/search/?api=1&query=23.586191,72.970520&query_place_id=ChIJG4awC4i5XTkRlp4OcoWuzUs"
Jamnagar,Jamnagar,+918929213223,"https://www.google.com/maps/search/?api=1&query=22.479095,70.062645&query_place_id=ChIJowSOwZprVzkRx8YnBOHE0oM"
Junagadh,Junagadh,+919643420312,"https://www.google.com/maps/search/?api=1&query=22.4156,70.725&query_place_id=ChIJW2vO0g8BWDkRyciUiW7c11w"
Kalol,Kalol,+919811039574,"https://www.google.com/maps/search/?api=1&query=23.2303454,72.4901514&query_place_id=ChIJ2y42cfQlXDkRtFM05MkRhy4"
Mehsana Radhanpur,Mehsana,+917042193194,"https://www.google.com/maps/search/?api=1&query=23.616455,72.352749&query_place_id=ChIJoxwGhfNDXDkR6ZE6332yJAQ"
Nadiad,Nadiad,+918929435320,"https://www.google.com/maps/search/?api=1&query=22.676105,72.88164&query_place_id=ChIJe1UuVz9bXjkR_s8Lm3iQ5DU"
Station Road,Navsari,+917428890279,"https://www.google.com/maps/search/?api=1&query=20.95143,72.921033&query_place_id=ChIJw50IAUH34DsR7w9OBmPMIpk"
Palanpur,Palanpur,+917303933934,"https://www.google.com/maps/search/?api=1&query=24.179025,72.419646&query_place_id=ChIJIeW6fC_rXDkR3hZ3S3UFazM"
Patan,Patan,+918447614463,"https://www.google.com/maps/search/?api=1&query=23.8333,72.1167&query_place_id=ChIJn9hHP4GHXDkRrjdx8JrMqS0"
Yagnik Road,Rajkot,+918800774907,"https://www.google.com/maps/search/?api=1&query=22.2928147,70.789427&query_place_id=ChIJxTprVBzLWTkRoCioGil1auA"
Yogichowk,Surat,+917303174175,"https://www.google.com/maps/search/?api=1&query=21.213297,72.884552&query_place_id=ChIJvWifuK1P4DsRkQofypPWofo"
Waghodia,Vadodara,+917065286190,"https://www.google.com/maps/search/?api=1&query=22.300529,73.23052&query_place_id=ChIJ4-jUeAfFXzkRAmALrk_T7UU"
Valsad,Valsad,+918826001366,"https://www.google.com/maps/search/?api=1&query=20.6077102,72.92568914&query_place_id=ChIJMZD7XzLD4DsR_9WD_XiY-a0"
Phase 2 GIDC,Vapi,+919953637332,"https://www.google.com/maps/search/?api=1&query=20.36792,72.92538&query_place_id=ChIJxb1SlRjP4DsROKDdFFu19ws"
Chetakpuri,Chetakpuri,+918447907937,"https://www.google.com/maps/search/?api=1&query=26.201496,78.1722234&query_place_id=ChIJX4mti6vFdjkRlk_9y5Mzp0w"
Ambala,Ambala,+918447745051,"https://www.google.com/maps/search/?api=1&query=30.372002,76.784847&query_place_id=ChIJzxQ90B_JDzkR_VwDVlMV1M0"
Bahadurgh,Bahadurgarh,+919667248249,"https://www.google.com/maps/search/?api=1&query=28.69117,76.93234&query_place_id=ChIJSaoS7qsJDTkRwN7Uj4PWzco"
Sector 37,Faridabad,+919953811921,"https://www.google.com/maps/search/?api=1&query=28.48015106,77.30818714&query_place_id=ChIJh-cnDajnDDkRsHcOFxw0Afw"
Sushant Lok 1,Gurugram,+917428891143,"https://www.google.com/maps/search/?api=1&query=28.460347,77.0841291&query_place_id=ChIJ515PMqYZDTkRP4b4vnMN1pc"
Urban Estate,Hisar,+918447846048,"https://www.google.com/maps/search/?api=1&query=29.13498,75.74627&query_place_id=ChIJdUtkEOEzEjkRoIPP68LGThA"
Ambedkar Chowk,Karnal,+917428890220,"https://www.google.com/maps/search/?api=1&query=29.695227,76.9868177&query_place_id=ChIJV9KTRgevJzoR1f4Ud9aWzjE"
Kurukshetra,Kurukshetra,+918929859908,"https://www.google.com/maps/search/?api=1&query=29.980802,76.863253&query_place_id=ChIJs6DcYcdHDjkRo6paae2zQrI"
Palwal,Palwal,+918929142854,"https://www.google.com/maps/search/?api=1&query=28.13895,77.334934&query_place_id=ChIJv-T65o3TDDkRMs1e_h6DHCs"
Sector 8,Panchkula,+919643689383,"https://www.google.com/maps/search/?api=1&query=30.70005,76.8492&query_place_id=ChIJ99Sf_mZHDjkRq5NdkooUyj0"
Model Town,Panipat,+919821080302,"https://www.google.com/maps/search/?api=1&query=29.391493,76.956292&query_place_id=ChIJt6ku5kHbDTkRAtdVbHq6Z9w"
Rohtak,Rohtak,+919667273274,"https://www.google.com/maps/search/?api=1&query=28.89086892,76.60473505&query_place_id=ChIJsdBMTTeFDTkRz1aEsAj7oUs"
Mandi Dabwali,Sirsa,+919953968271,"https://www.google.com/maps/search/?api=1&query=29.96116594,74.70580209&query_place_id=ChIJeXYB0OrZFjkR6mua6BmgOSY"
Subhash Nagar,Sonipat,+919870523524,"https://www.google.com/maps/search/?api=1&query=28.98962,77.02032&query_place_id=ChIJ6TK19zixDTkRJoYW_gPhrDM"
Gandhi Nagar Chowk Sonipath,Sonipath,+919582633910,"https://www.google.com/maps/search/?api=1&query=28.9962234,77.0279936&query_place_id=ChIJ2w5PIHGxDTkRQZNqqDkjymA"
Model Town Yamuna Nagar,Yamuna Nagar,+918447803468,"https://www.google.com/maps/search/?api=1&query=30.139652,77.290233&query_place_id=ChIJe0cBBWD7DjkRvw0CF-MirYE"
"Big Bazaar Chowk, Sai Road, Baddi",Baddi,+918929597436,"https://www.google.com/maps/search/?api=1&query=30.935705,76.800280&query_place_id=ChIJXSUmmz_1DzkRk3mlqCFcRYI"
Kangra,Kangra,+917428890193,"https://www.google.com/maps/search/?api=1&query=32.10721621,76.27586965&query_place_id=ChIJOfILTiBPGzkRyGxL2LSP598"
Palampur,Palampur,+919971001357,"https://www.google.com/maps/search/?api=1&query=32.114061,76.535029&query_place_id=ChIJ-_EY3hazBDkRX8ZZ2kXkvMU"
Paonta Sahib,Sirmaur,+918447894653,"https://www.google.com/maps/search/?api=1&query=30.441691,77.611637&query_place_id=ChIJf8vZeiAjDzkRKRpmOI3iUu4"
Mall Road,Solan,+918447845295,"https://www.google.com/maps/search/?api=1&query=30.908348,77.096241&query_place_id=ChIJcy-8zbGHDzkRscQgdlElvqM"
Sundar Nagar,Sundar Nagar,+918929347552,"https://www.google.com/maps/search/?api=1&query=31.53297077,76.88873324&query_place_id=ChIJyUymMWoZBTkR9g_QqVqYCw8"
Una Nangal Road,Una,+919711452509,"https://www.google.com/maps/search/?api=1&query=31.462309,76.280271&query_place_id=ChIJp3RQmYvRGjkR3fpqf9iK328"
Boduppal,Rangareddy,+919899408896,"https://www.google.com/maps/search/?api=1&query=78.5851059,17.41543007&query_place_id=ChIJ5THfbwifyzsRWI8m11CR3Z8"
Lotte Shopping Avenue,Indonesia,+916285922413889,"https://www.google.com/maps/search/?api=1&query=-6.224700444,106.8235664&query_place_id=ChIJaUBcDETzaS4Rh0rnNrR_dHw"
Udhampur,Jammu,+918929337347,"https://www.google.com/maps/search/?api=1&query=32.931114,75.143321&query_place_id=ChIJQfb01NLTHTkRDlW1HJZvh44"
Srinagar Residency,Srinagar,+919953880635,"https://www.google.com/maps/search/?api=1&query=34.07264,74.816041&query_place_id=ChIJocfgW9KP4TgRzeYtN6PjG2k"
Sector 4 Bokaro,Bokaro,+919582390099,"https://www.google.com/maps/search/?api=1&query=23.667719,86.142232&query_place_id=ChIJK37VATUi9DkRyKg2L_d_-wc"
Shyamganj,Deoghar,+919643813896,"https://www.google.com/maps/search/?api=1&query=24.49008,86.694437&query_place_id=ChIJ6WEqpj8X8TkR_M4axx7naTY"
Nilanchal Colony,Dhanbad,+918447932982,"https://www.google.com/maps/search/?api=1&query=23.819321,85.512499&query_place_id=ChIJK1U9pL-P9DkRbL1goNiawwc"
Hazaribagh,Hazaribagh,+917428891097,"https://www.google.com/maps/search/?api=1&query=23.996275,85.358433&query_place_id=ChIJ08z-yRqd9DkRju6B8mF7hSE"
Sackhi,Jamshedpur,+919870357358,"https://www.google.com/maps/search/?api=1&query=22.80134,86.20638&query_place_id=ChIJS1goqTvj9TkRMlGgHQ-W0dQ"
Ramgarh,Ramgarh,+918447834529,"https://www.google.com/maps/search/?api=1&query=23.6362643,85.5127232&query_place_id=ChIJcXPC_JH19DkRt7FC8m0m1CM"
Mall Of Ranchi,Ranchi,+919582378913,"https://www.google.com/maps/search/?api=1&query=23.378676,85.31474&query_place_id=ChIJhZRdtuvf9DkRpvmFX-Xq95M"
Bagalkote,Bagalkote,+918448310311,"https://www.google.com/maps/search/?api=1&query=16.1844027,75.6989345&query_place_id=ChIJyxDkHxB5xzsRE1Qv3-M0Fxg"
Ballari,Ballari,+917428890262,"https://www.google.com/maps/search/?api=1&query=15.15188,76.92375&query_place_id=ChIJ5_cQ7esRtzsR9lTbjxGSVvA"
Nehru Nagar,Belagavi,+917291042630,"https://www.google.com/maps/search/?api=1&query=15.8811686,74.517057&query_place_id=ChIJFS7gf55hvzsR0LiTOnn-YWk"
Tilakwadi,Belgaum,+917428890256,"https://www.google.com/maps/search/?api=1&query=15.838002,74.507611&query_place_id=ChIJfdwD74RmvzsR2Tf57v6Nuak"
Yeshwanthpur,Bengaluru,+919582511370,"https://www.google.com/maps/search/?api=1&query=13.0234,77.55602&query_place_id=ChIJ_Z59O8s9rjsRmcDvipZHrWA"
Udgir Road,Bidar,+917303815816,"https://www.google.com/maps/search/?api=1&query=17.9217751,77.506446&query_place_id=ChIJ-cbvHkHHzjsRp4gbfg5aoEM"
Lingad Gudi Road,Bijapur,+917428890272,"https://www.google.com/maps/search/?api=1&query=16.843558,75.712142&query_place_id=ChIJpT_znn3_xjsRd_BzIdFUlIQ"
Chikkamagaluru,Chikkamagaluru,+919870562563,"https://www.google.com/maps/search/?api=1&query=13.317132,75.774353&query_place_id=ChIJXWSRi13XujsRyN9AZjauyxY"
Davanagere,Davanagere,+917428890175,"https://www.google.com/maps/search/?api=1&query=14.45894,75.9194375&query_place_id=ChIJ46IjaXQlujsRBXi9QwU-_3E"
Dharwad,Dharwad,+918929335375,"https://www.google.com/maps/search/?api=1&query=15.448369,75.011938&query_place_id=ChIJQzkVTpfTuDsRC9L4biAkkTc"
Gangavathi,Gangavathi,+918929337386,"https://www.google.com/maps/search/?api=1&query=15.428799,76.531461&query_place_id=ChIJJX7aqlSBtzsRQ9kHazN6iy8"
Gokak,Gokak,+918929261493,"https://www.google.com/maps/search/?api=1&query=16.167994,74.822003&query_place_id=ChIJW8YYEtSvwDsRbcuJubUOpdo"
Sedam Road Gulbarga,Gulbarga,+917065310968,"https://www.google.com/maps/search/?api=1&query=17.326637,76.855776&query_place_id=ChIJvSGOpnLHyDsRDI3Bbt3DhLA"
KR Puram,Hassan,+917303457458,"https://www.google.com/maps/search/?api=1&query=13.002994,76.106426&query_place_id=ChIJVWy5xdtJpTsRMC5cD-MZxW4"
Hospet,Hosapete,+919717781353,"https://www.google.com/maps/search/?api=1&query=15.275109,76.384011&query_place_id=ChIJ0Q8vxWnVuTsREJ1d-g5Z7EY"
Vidya Nagar,Hubballi,+919582580560,"https://www.google.com/maps/search/?api=1&query=15.35970485,75.12780334&query_place_id=ChIJN-PdifvXuDsRtcye1Qdrsjc"
Vidya Nagar,Hubli,+918929342563,"https://www.google.com/maps/search/?api=1&query=15.36241,75.118819&query_place_id=ChIJtwYmpWDXuDsRtlHuhqH3HpY"
Kuvempu Nagar,Kalaburagi,+917428890243,"https://www.google.com/maps/search/?api=1&query=17.32529,76.834053&query_place_id=ChIJlQqJLlPHyDsRBZuQ4MG6QtY"
Kolar,Kolar,+918929270250,"https://www.google.com/maps/search/?api=1&query=13.132733,78.132911&query_place_id=ChIJ5Yat6uLxrTsR_yqLqUVW0d8"
Mandya,Mandya,+919821080315,"https://www.google.com/maps/search/?api=1&query=12.527388,76.8957435&query_place_id=ChIJR5njbcChrzsRcoKm2RBjgVs"
Flagship Store Empire Mall,Mangalore,+917428890010,"https://www.google.com/maps/search/?api=1&query=12.879847,74.840406&query_place_id=ChIJI4rfcZhbozsRRPAYNU6Q770"
Surathkal,Mangaluru,+917291097439,"https://www.google.com/maps/search/?api=1&query=12.9778414,74.8035856&query_place_id=ChIJfy78w-1RozsRNOQLiHFqct8"
Manipal,Manipal,+918447818933,"https://www.google.com/maps/search/?api=1&query=13.3472343,74.7836516&query_place_id=ChIJ3TmEWyWlvDsRpNCQLGYMsSQ"
Mudhol,Mudhol,+918929337327,"https://www.google.com/maps/search/?api=1&query=16.33525,75.28475&query_place_id=ChIJ77OSNKtBxzsRYEQFSYw999U"
"Vijay Nagar, Mysuru",Mysuru,+919582554529,"https://www.google.com/maps/search/?api=1&query=12.321096,76.587711&query_place_id=ChIJNdRyCZ97rzsR9SYN0v1o96c"
Sindhanur,Raichur,+918929338697,"https://www.google.com/maps/search/?api=1&query=15.764034,76.755191&query_place_id=ChIJv4tlujHrtzsRtJ5dELXMsA4"
Savalanga Road,Shimoga,+917428890189,"https://www.google.com/maps/search/?api=1&query=13.94381,75.5740514&query_place_id=ChIJw8v7VFVVuDsRyN9ddeFbFyU"
BH Road Shivamogga,Shivamogga,+918742923170,"https://www.google.com/maps/search/?api=1&query=13.9295,75.57382&query_place_id=ChIJqZD_HXipuzsRoV4nFzX4ZZU"
Sirsi,Sirsi,+919311773738,"https://www.google.com/maps/search/?api=1&query=14.6222670,74.8352110&query_place_id=ChIJsSzeFzr_uzsRG0g5GF6rX0U"
SIT Tumkur,Tumkur,+918929344598,"https://www.google.com/maps/search/?api=1&query=13.328900,77.121735&query_place_id=ChIJe10X_OYtsDsRpJu7iVkFdUk"
Hanuman Circle Tenkapet,Udupi,+917291082898,"https://www.google.com/maps/search/?api=1&query=13.3419637,74.74964317&query_place_id=ChIJW8GVtXm7vDsRym0YidLtOgk"
Kayamkulam,Alappuzha,+919953684937,"https://www.google.com/maps/search/?api=1&query=9.175346,76.505732&query_place_id=ChIJUU3wY8gdBjsRtzHDVpAE434"
Flagship Store Alleppy,Alleppey,+918929438468,"https://www.google.com/maps/search/?api=1&query=9.500086,76.338524&query_place_id=ChIJaXu2u_uFCDsRHxPR6YHn5kY"
Attingal,Attingal,+918929310370,"https://www.google.com/maps/search/?api=1&query=8.706319,76.81527&query_place_id=ChIJNVSee5TpBTsRw6u9tsbDQys"
"Nadakkavu, Calicut",Calicut,+918447702827,"https://www.google.com/maps/search/?api=1&query=11.2789940,75.7711430&query_place_id=ChIJPYd8xJZfpjsRBdUitXf0lIo"
Chengannur,Chengannur,+918929306702,"https://www.google.com/maps/search/?api=1&query=9.324501,76.609265&query_place_id=ChIJFRC_HgEjBjsReQV6U6JMSf8"
Cherthala,Cherthala,+918929345325,"https://www.google.com/maps/search/?api=1&query=9.676559,76.340406&query_place_id=ChIJMZ86QMJ9CDsRICeB_3XrUAs"
Thrippunithura,Cochin,+919971223351,"https://www.google.com/maps/search/?api=1&query=9.955132,76.344486&query_place_id=ChIJj9ypNPhzCDsRobQ5-LywMaw"
